[Profiler] Pipeline IA tomo: 7.7859 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.9402 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 8.5991 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.7861 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.5684 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.1034 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.995 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.1827 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.3568 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.7085 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.356 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.1323 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.1225 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.0581 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.7338 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.6597 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.6314 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.7313 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.5337 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 7.5651 ms | Denoise: ON | FG Preview: OFF | Modo (0)
[Profiler] Pipeline IA tomo: 8.0935 ms | Denoise: ON | FG Preview: OFF | Modo (0)
